Employee_Name,EmpID,MarriedID,MaritalStatusID,GenderID,EmpStatusID,DeptID,PerfScoreID,FromDiversityJobFairID,PayRate,Termd,PositionID,Position,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,State,DOB,Zip
Employee_68,1068,0,1,1,2,5,2,1,29.69950376325086,0,1,Data Analyst,Admin,Manager_C,7,Diversity Job Fair,PIP,3.674381983030729,2,9,1/15/2019,3,MA,1980-01-01,01234
Employee_69,1069,1,0,0,3,6,2,0,49.360725603282695,0,14,Data Analyst,IT,Manager_A,8,Indeed,Fully Meets,2.887543778154627,3,8,1/15/2019,0,CA,1980-01-01,01234
Employee_70,1070,1,2,0,1,5,4,1,15.225045571881388,1,6,HR Manager,Admin,Manager_B,9,LinkedIn,Fully Meets,3.2212766876346697,2,8,1/15/2019,0,MA,1980-01-01,01234
Employee_71,1071,0,0,1,1,5,3,0,47.0303632332567,0,11,Sales,IT,Manager_C,9,Indeed,Exceeds,3.3711689358428902,3,5,1/15/2019,4,TX,1980-01-01,01234
Employee_72,1072,1,1,1,3,1,3,0,56.90507258752082,0,13,HR Manager,IT,Manager_A,6,Diversity Job Fair,PIP,1.2090070793459589,5,1,1/15/2019,4,TX,1980-01-01,01234
Employee_73,1073,1,3,1,1,4,1,0,35.03953941794943,0,29,HR Manager,HR,Manager_B,4,Indeed,Exceeds,3.6496736844861637,2,7,1/15/2019,1,TX,1980-01-01,01234
Employee_74,1074,1,0,0,4,6,3,0,35.12467961013475,1,2,Data Analyst,Admin,Manager_C,3,Indeed,PIP,2.62788403303097,5,8,1/15/2019,4,TX,1980-01-01,01234
Employee_75,1075,0,1,1,2,5,2,1,29.423132846524148,0,20,Sales,HR,Manager_A,5,Indeed,Exceeds,3.403216568260975,4,2,1/15/2019,3,CA,1980-01-01,01234
Employee_76,1076,1,2,0,1,4,2,1,55.44517354871523,0,28,Software Engineer,Sales,Manager_B,8,LinkedIn,Fully Meets,2.9017836558648975,4,7,1/15/2019,3,NY,1980-01-01,01234
Employee_77,1077,0,1,1,4,4,3,1,19.43269274808086,1,26,HR Manager,Sales,Manager_C,9,Diversity Job Fair,Fully Meets,4.749248830042666,2,4,1/15/2019,0,NY,1980-01-01,01234
Employee_78,1078,0,3,0,1,2,4,1,22.154991327232008,1,6,Software Engineer,Admin,Manager_A,8,Diversity Job Fair,Fully Meets,1.1489132165929554,2,6,1/15/2019,1,TX,1980-01-01,01234
Employee_79,1079,0,0,1,4,6,2,1,16.382496279313326,0,23,Software Engineer,IT,Manager_B,7,Indeed,Exceeds,4.444747215355253,4,9,1/15/2019,1,TX,1980-01-01,01234
Employee_80,1080,1,2,0,4,2,3,0,39.40384471394576,1,10,Software Engineer,Admin,Manager_C,8,Indeed,Exceeds,3.70488454083833,3,1,1/15/2019,1,MA,1980-01-01,01234
Employee_81,1081,0,1,0,1,3,1,0,25.060963284900637,1,3,Data Analyst,IT,Manager_A,5,Diversity Job Fair,Exceeds,2.868694360928049,3,0,1/15/2019,0,CA,1980-01-01,01234
Employee_82,1082,1,3,1,2,5,4,1,19.230485642354246,0,22,HR Manager,Admin,Manager_B,5,Diversity Job Fair,PIP,4.703690475659469,3,1,1/15/2019,1,CA,1980-01-01,01234
Employee_83,1083,0,3,1,1,4,3,0,31.715412514093543,0,19,Data Analyst,Admin,Manager_C,5,Diversity Job Fair,Fully Meets,3.7662130506437514,4,8,1/15/2019,1,CA,1980-01-01,01234
Employee_84,1084,1,0,1,3,4,2,1,34.35502765208126,0,27,Software Engineer,HR,Manager_A,6,Diversity Job Fair,Exceeds,2.3990331041667075,3,9,1/15/2019,1,NY,1980-01-01,01234
Employee_85,1085,1,1,0,4,1,4,1,37.84849308940355,1,3,Data Analyst,Admin,Manager_B,9,Diversity Job Fair,Exceeds,4.147623042546581,5,7,1/15/2019,0,CA,1980-01-01,01234
Employee_86,1086,0,1,0,2,2,1,0,21.862360373130098,0,1,HR Manager,IT,Manager_C,6,Diversity Job Fair,PIP,3.4062613010984593,2,6,1/15/2019,4,CA,1980-01-01,01234
Employee_87,1087,0,1,0,3,2,3,1,40.154901104026024,1,10,Sales,Admin,Manager_A,2,Diversity Job Fair,Fully Meets,1.3118597223119108,5,6,1/15/2019,0,TX,1980-01-01,01234
Employee_88,1088,1,1,1,1,6,4,1,56.09957908865273,0,18,HR Manager,Sales,Manager_B,3,LinkedIn,Exceeds,3.908797499475475,5,3,1/15/2019,3,NY,1980-01-01,01234
Employee_89,1089,1,0,1,1,1,2,1,58.5113776574358,1,11,Software Engineer,Admin,Manager_C,7,LinkedIn,Fully Meets,3.1704066543399487,2,1,1/15/2019,0,NY,1980-01-01,01234
Employee_90,1090,1,0,1,3,1,3,0,54.139398483041916,0,13,HR Manager,Admin,Manager_A,1,Diversity Job Fair,PIP,2.027891797838624,4,5,1/15/2019,4,CA,1980-01-01,01234
Employee_91,1091,1,2,1,2,3,3,1,38.038293548223315,1,13,HR Manager,Admin,Manager_B,1,Indeed,Exceeds,3.481663886648466,5,1,1/15/2019,3,TX,1980-01-01,01234
Employee_92,1092,1,0,1,3,1,4,1,42.86337408905661,0,26,Data Analyst,HR,Manager_C,6,LinkedIn,Fully Meets,1.2929707458408841,3,3,1/15/2019,3,CA,1980-01-01,01234
Employee_93,1093,1,1,1,3,5,1,0,49.661351338094086,0,19,Data Analyst,IT,Manager_A,6,LinkedIn,Exceeds,4.394594237362563,4,0,1/15/2019,2,NY,1980-01-01,01234
Employee_94,1094,0,3,0,2,6,4,1,38.806409096659294,1,16,Data Analyst,Admin,Manager_B,4,Indeed,Exceeds,3.9219972935174487,2,9,1/15/2019,1,MA,1980-01-01,01234
Employee_95,1095,0,3,0,4,1,1,0,50.32514884028634,0,17,Software Engineer,Sales,Manager_C,8,Indeed,Exceeds,2.9620332675434393,4,7,1/15/2019,4,CA,1980-01-01,01234
Employee_96,1096,1,3,0,2,3,2,0,58.443721362876076,0,8,Software Engineer,IT,Manager_A,9,Diversity Job Fair,Exceeds,4.308414376263117,5,0,1/15/2019,3,MA,1980-01-01,01234
Employee_97,1097,0,0,1,3,3,3,1,31.74738584719519,0,21,Sales,HR,Manager_B,5,LinkedIn,PIP,1.6738723023193782,4,5,1/15/2019,3,NY,1980-01-01,01234
Employee_98,1098,1,1,1,4,4,4,1,32.48073723202764,1,5,Sales,Sales,Manager_C,7,Diversity Job Fair,Exceeds,1.4835530270902946,3,3,1/15/2019,0,TX,1980-01-01,01234
Employee_99,1099,0,3,0,3,1,2,0,56.555826366146256,0,17,Data Analyst,HR,Manager_A,3,Diversity Job Fair,Fully Meets,4.775760913909549,2,3,1/15/2019,0,CA,1980-01-01,01234
Employee_100,1100,0,2,0,2,1,2,0,40.2298500985608,0,22,Data Analyst,IT,Manager_B,8,Indeed,Fully Meets,2.624184960866604,3,0,1/15/2019,0,MA,1980-01-01,01234
Employee_101,1101,0,1,1,2,3,1,1,37.49251532867467,1,13,Software Engineer,HR,Manager_C,8,Diversity Job Fair,PIP,3.067565269269649,4,2,1/15/2019,2,TX,1980-01-01,01234
Employee_102,1102,0,3,1,2,3,3,0,41.535645421482556,0,1,Sales,Admin,Manager_A,8,LinkedIn,Fully Meets,2.600803268798985,5,2,1/15/2019,4,TX,1980-01-01,01234
Employee_103,1103,1,1,1,4,5,2,1,46.893838080529974,1,13,Data Analyst,Sales,Manager_B,7,Diversity Job Fair,Exceeds,1.7581969981934904,2,6,1/15/2019,3,CA,1980-01-01,01234
Employee_104,1104,1,0,0,3,1,4,0,33.62037757615404,1,24,Software Engineer,Sales,Manager_C,1,Diversity Job Fair,PIP,2.3111468675802147,1,1,1/15/2019,0,MA,1980-01-01,01234
Employee_105,1105,1,2,0,3,4,3,0,27.10755418117401,0,3,Sales,IT,Manager_A,8,Indeed,Fully Meets,4.454759562467658,1,8,1/15/2019,4,TX,1980-01-01,01234
Employee_106,1106,0,0,0,2,2,1,0,40.01981328880487,0,13,Sales,HR,Manager_B,2,Diversity Job Fair,PIP,2.454786859336261,2,3,1/15/2019,1,MA,1980-01-01,01234
Employee_107,1107,1,3,0,4,1,4,1,58.57972601840181,1,28,Data Analyst,IT,Manager_C,8,Diversity Job Fair,PIP,2.4521812006121597,4,9,1/15/2019,0,CA,1980-01-01,01234
Employee_108,1108,1,0,1,2,4,1,0,53.2267695597255,0,24,HR Manager,Admin,Manager_A,7,Indeed,Exceeds,1.8011382264869615,3,0,1/15/2019,3,NY,1980-01-01,01234
Employee_109,1109,1,0,0,1,6,1,0,53.14235783731414,1,12,Data Analyst,Sales,Manager_B,3,Indeed,PIP,4.3870251410391905,4,0,1/15/2019,1,TX,1980-01-01,01234
Employee_110,1110,0,3,1,2,5,1,0,21.172604953961645,0,14,Software Engineer,Admin,Manager_C,9,Indeed,Fully Meets,2.946795752322565,3,3,1/15/2019,2,CA,1980-01-01,01234
Employee_111,1111,0,0,1,3,5,4,1,58.69281301297586,1,19,Software Engineer,HR,Manager_A,6,LinkedIn,PIP,3.84087410804274,5,6,1/15/2019,2,CA,1980-01-01,01234
Employee_112,1112,1,1,1,2,1,4,1,53.60598797988053,0,25,Software Engineer,Admin,Manager_B,6,Diversity Job Fair,PIP,4.481529971332519,3,0,1/15/2019,4,MA,1980-01-01,01234
Employee_113,1113,0,2,1,2,2,4,1,27.765317701982244,0,18,Software Engineer,IT,Manager_C,7,LinkedIn,PIP,3.932455492360545,1,1,1/15/2019,4,NY,1980-01-01,01234
Employee_114,1114,0,2,0,3,1,3,1,32.654820658735694,0,18,Sales,IT,Manager_A,2,Indeed,Fully Meets,4.64726231852886,5,2,1/15/2019,2,TX,1980-01-01,01234
Employee_115,1115,1,3,0,1,5,4,0,57.10389950785775,0,1,Software Engineer,Admin,Manager_B,2,Diversity Job Fair,Exceeds,3.168504197790367,1,8,1/15/2019,4,CA,1980-01-01,01234
Employee_116,1116,1,1,0,3,4,3,0,38.44332393645253,0,26,Sales,Admin,Manager_C,5,Indeed,Exceeds,1.7994954639599867,4,7,1/15/2019,3,MA,1980-01-01,01234
Employee_117,1117,1,1,1,4,3,4,1,34.67400828879007,1,29,Data Analyst,Sales,Manager_A,5,LinkedIn,PIP,1.0855970582162597,2,4,1/15/2019,2,CA,1980-01-01,01234
Employee_118,1118,1,3,1,3,1,4,1,18.369377522485912,1,11,Sales,IT,Manager_B,4,LinkedIn,Fully Meets,2.8084151481886583,1,9,1/15/2019,3,MA,1980-01-01,01234
Employee_119,1119,0,3,0,1,3,3,0,33.30284656125388,1,1,HR Manager,Admin,Manager_C,7,LinkedIn,Fully Meets,1.6587307423450421,2,6,1/15/2019,1,NY,1980-01-01,01234
Employee_120,1120,1,2,0,4,6,1,0,21.082955427276875,1,5,Data Analyst,Admin,Manager_A,5,Indeed,Fully Meets,2.1024198555695643,5,5,1/15/2019,4,TX,1980-01-01,01234
Employee_121,1121,1,2,0,4,4,2,1,36.997635915510486,0,27,Sales,HR,Manager_B,3,Indeed,Exceeds,1.5947508180514758,3,3,1/15/2019,0,NY,1980-01-01,01234
Employee_122,1122,1,2,1,1,3,3,1,23.826090271109706,0,17,Software Engineer,HR,Manager_C,1,Indeed,Fully Meets,1.4724962654021776,4,8,1/15/2019,0,TX,1980-01-01,01234
Employee_123,1123,1,2,1,2,5,4,0,30.682377009152923,0,19,Data Analyst,IT,Manager_A,5,Indeed,PIP,2.9809708660133256,4,1,1/15/2019,0,NY,1980-01-01,01234
Employee_124,1124,1,1,0,2,6,4,1,26.60020802257217,0,17,Software Engineer,HR,Manager_B,6,Diversity Job Fair,Fully Meets,1.915299705284423,4,9,1/15/2019,4,MA,1980-01-01,01234
Employee_125,1125,0,2,1,3,6,2,0,20.821902913688415,0,25,HR Manager,Sales,Manager_C,2,Diversity Job Fair,Exceeds,1.8213784900643697,1,0,1/15/2019,0,CA,1980-01-01,01234
Employee_126,1126,1,0,0,2,4,3,0,56.59191105784887,0,8,Software Engineer,IT,Manager_A,6,Indeed,Exceeds,1.2534444792863284,4,6,1/15/2019,1,TX,1980-01-01,01234
Employee_127,1127,0,3,1,2,1,1,0,41.81435665114971,1,2,Software Engineer,Admin,Manager_B,4,Indeed,Fully Meets,1.4010210284820364,5,4,1/15/2019,0,CA,1980-01-01,01234
Employee_128,1128,0,0,0,1,4,3,1,41.13916917245232,1,15,Data Analyst,Sales,Manager_C,6,Diversity Job Fair,Fully Meets,3.4919490089023437,4,6,1/15/2019,1,MA,1980-01-01,01234
Employee_129,1129,1,2,0,4,3,3,0,45.594679291776245,0,12,HR Manager,IT,Manager_A,4,Diversity Job Fair,PIP,1.6793684417108294,1,4,1/15/2019,2,NY,1980-01-01,01234
Employee_130,1130,1,0,1,1,1,2,0,43.53214502986105,0,4,Sales,HR,Manager_B,2,Diversity Job Fair,Exceeds,2.38939009202042,2,6,1/15/2019,1,NY,1980-01-01,01234
Employee_131,1131,1,0,0,2,1,3,1,42.462887637279785,0,11,HR Manager,Sales,Manager_C,6,Diversity Job Fair,Exceeds,3.971467763780313,3,1,1/15/2019,1,CA,1980-01-01,01234
Employee_132,1132,0,3,0,4,2,3,0,29.897635652431273,0,3,HR Manager,Admin,Manager_A,8,Diversity Job Fair,Exceeds,4.872186628821591,5,6,1/15/2019,2,MA,1980-01-01,01234
Employee_133,1133,1,1,0,4,1,3,1,33.673271769634965,1,25,Software Engineer,HR,Manager_B,5,Diversity Job Fair,PIP,4.182862803082427,3,5,1/15/2019,1,NY,1980-01-01,01234
Employee_134,1134,1,3,0,3,2,4,0,33.5225349378163,1,29,Data Analyst,Admin,Manager_C,1,LinkedIn,Exceeds,2.427525552924976,4,3,1/15/2019,3,NY,1980-01-01,01234
Employee_135,1135,0,3,1,3,5,4,0,58.35658019686073,0,20,HR Manager,IT,Manager_A,4,LinkedIn,PIP,3.0062971458876624,2,0,1/15/2019,2,NY,1980-01-01,01234
